rdf-schema#label,birthDate,birthYear,Occupation_g,Actor,Politician,Athlete,Business_person,Cause_of_Death_cat,deathDate,occupation_label,occupation,title,deathCause_label,deathCause,salary
Jack Britton (footballer born 1900),1900-03-18,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Jack Lowe (footballer),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Jack Price (footballer born 1900),1900-06-09,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1984-01-01T00:00:00+02:00,,,,,,
Jacques Moeschal (footballer),1900-09-06,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1956-10-30,,,,,,
Elisabeth Neumann-Viertel,1900-04-05,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1994-12-24,{Actor|Elisabeth_Neumann-Viertel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Elisabeth_Neumann-Viertel__1},,,,
Elof Ahrle,1900-01-21,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1965-06-03,{Actor|Film director|Elof_Ahrle__1|Elof_Ahrle__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Elof_Ahrle__1|http://dbpedia.org/resource/Elof_Ahrle__2},,,,
Eric Heenan (politician),1900-04-29,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1998-06-26,,,,,,
Eric Wilson (athlete),1900-10-08,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1985-07-02,,,,,,
Ernst Busch (actor),1900-01-22,1900-01-01T00:00:00+02:00,"['actor', 'sing']",True,False,False,False,Unknown,1980-06-08,{Actor|Singing|Ernst_Busch_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Ernst_Busch_(actor)__1},,,,
Estelle Brody,1900-08-15,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1995-06-03,{Actor|Estelle_Brody__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Estelle_Brody__1},,,,
Eugenie Leontovich,1900-03-21,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,{1993-04-02|1993-04-03},{Actor|Eugenie_Leontovich__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eugenie_Leontovich__1},,,,
Thomas Brennan (Victorian state politician),1900-04-07,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1966-10-29,,,,,,
Thomas Garnett (footballer),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1950-01-10,,,,,,
Tom Andrews (Australian politician),1900-10-19,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1974-11-21,,,,,,
Tom Goode (politician),{1900-11-09|1902-11-09},1902-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1983-09-12,,,,,,
Tom Murphy (American football),1900-01-22,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Lucille Lortel,1900-12-16,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1999-04-04,{Actor|Artistic director|Theatrical producer|Lucille_Lortel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Artistic_director|http://dbpedia.org/resource/Theatrical_producer|http://dbpedia.org/resource/Lucille_Lortel__1},,,,
Lucille May Grace,1900-10-03,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1957-12-22,,,,,,
