rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathCause_label,deathCause,Cause_of_Death_cat,title
Elisabeth Neumann-Viertel,1900-04-05,1900-01-01T00:00:00+02:00,1994-12-24,{Actor|Elisabeth_Neumann-Viertel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Elisabeth_Neumann-Viertel__1},['actor'],True,False,False,,,,
Elof Ahrle,1900-01-21,1900-01-01T00:00:00+02:00,1965-06-03,{Actor|Film director|Elof_Ahrle__1|Elof_Ahrle__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Elof_Ahrle__1|http://dbpedia.org/resource/Elof_Ahrle__2},['actor'],True,False,False,,,,
Eric Heenan (politician),1900-04-29,1900-01-01T00:00:00+02:00,1998-06-26,,,['politician'],False,True,True,,,,
Ernst Busch (actor),1900-01-22,1900-01-01T00:00:00+02:00,1980-06-08,{Actor|Singing|Ernst_Busch_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Ernst_Busch_(actor)__1},"['actor', 'sing']",True,False,False,,,,
Estelle Brody,1900-08-15,1900-01-01T00:00:00+02:00,1995-06-03,{Actor|Estelle_Brody__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Estelle_Brody__1},['actor'],True,False,False,,,,
Eugenie Leontovich,1900-03-21,1900-01-01T00:00:00+02:00,{1993-04-02|1993-04-03},{Actor|Eugenie_Leontovich__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eugenie_Leontovich__1},['actor'],True,False,False,,,,
Thomas Brennan (Victorian state politician),1900-04-07,1900-01-01T00:00:00+02:00,1966-10-29,,,['politician'],False,True,True,,,,
Tom Andrews (Australian politician),1900-10-19,1900-01-01T00:00:00+02:00,1974-11-21,,,['politician'],False,True,True,,,,
Tom Goode (politician),{1900-11-09|1902-11-09},1902-01-01T00:00:00+02:00,1983-09-12,,,['politician'],False,True,True,,,,
Lucille Lortel,1900-12-16,1900-01-01T00:00:00+02:00,1999-04-04,{Actor|Artistic director|Theatrical producer|Lucille_Lortel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Artistic_director|http://dbpedia.org/resource/Theatrical_producer|http://dbpedia.org/resource/Lucille_Lortel__1},['actor'],True,False,False,,,,
Grace Hartman (politician),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1998-05-23,,,"['politician', 'athlete']",False,True,True,,,,
Wolfgang Heinz (actor),{1900-04-18|1900-05-18},1900-01-01T00:00:00+02:00,1984-10-30,Wolfgang_Heinz_(actor)__1,http://dbpedia.org/resource/Wolfgang_Heinz_(actor)__1,['actor'],True,False,False,,,,
Zuzka Zguriška,1900-04-13,1900-01-01T00:00:00+02:00,1984-09-24,{Actor|Novelist|Playwright|Translation},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Novelist|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Translation},['actor'],True,False,False,,,,
Fred Green (Australian politician),1900-11-12,1900-01-01T00:00:00+02:00,1983-09-15,,,['politician'],False,True,True,,,,
Fritz Feld,1900-10-15,1900-01-01T00:00:00+02:00,1993-11-18,{Actor|Fritz_Feld__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fritz_Feld__1},['actor'],True,False,False,,,,
Gavin Muir (American actor),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1972-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,
Georg Funkquist,1900-03-13,1900-01-01T00:00:00+02:00,1986-10-23,{Actor|Georg_Funkquist__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Georg_Funkquist__1},['actor'],True,False,False,,,,
Georg Skarstedt,1900-01-31,1900-01-01T00:00:00+02:00,1976-12-08,{Actor|Georg_Skarstedt__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Georg_Skarstedt__1},['actor'],True,False,False,,,,
Patrick Grace (politician),1900-10-31,1900-01-01T00:00:00+02:00,1975-01-06,,,"['politician', 'athlete']",False,True,True,,,,
Denmei Suzuki,1900-03-01,1900-01-01T00:00:00+02:00,1985-05-13,{Actor|Denmei_Suzuki__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Denmei_Suzuki__1},['actor'],True,False,False,,,,
Roger Maxwell (actor),1900-01-01,1900-01-01T00:00:00+02:00,1971-11-24,,,['actor'],True,False,False,,,,
Roland Culver,1900-08-31,1900-01-01T00:00:00+02:00,1984-03-01,{Actor|Roland_Culver__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Roland_Culver__1},['actor'],True,False,False,,,,
Michael Donnellan (politician),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1964-09-27,,,['politician'],False,True,True,,,,
Michael Quinn (Australian politician),1900-10-23,1900-01-01T00:00:00+02:00,1965-07-12,,,['politician'],False,True,True,,,,
