rdf-schema#label,birthDate,birthYear,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathDate,deathCause_label,deathCause,Cause_of_Death_cat,title
Iris Berben,1950-08-12,1950-01-01T00:00:00+02:00,{Actor|Iris_Berben__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Iris_Berben__1},['actor'],True,False,False,,,,,
Isabelle Amyes,1950-06-13,1950-01-01T00:00:00+02:00,{Actor|Writer|Isabelle_Amyes__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Isabelle_Amyes__1},['actor'],True,False,False,,,,,
Ivan Melnikov (politician),1950-08-12,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Jackson Davies,1950-03-17,1950-01-01T00:00:00+02:00,{Actor|Jackson_Davies__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jackson_Davies__1},['actor'],True,False,False,,,,,
Jaime Fabregas,1950-02-28,1950-01-01T00:00:00+02:00,{Actor|Jaime_Fabregas__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jaime_Fabregas__1},['actor'],True,False,False,,,,,
Elke Aberle,1950-07-01,1950-01-01T00:00:00+02:00,{Actor|Elke_Aberle__1|Elke_Aberle__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Elke_Aberle__1|http://dbpedia.org/resource/Elke_Aberle__2},['actor'],True,False,False,,,,,
Enn Reitel,1950-06-21,1950-01-01T00:00:00+02:00,{Impressionist (entertainment)|Actor|Enn_Reitel__1},{http://dbpedia.org/resource/Impressionist_(entertainment)|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Enn_Reitel__1},['actor'],True,False,False,,,,,
Erika Mann (politician),1950-11-02,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Ernst Hirsch Ballin,1950-12-15,1950-01-01T00:00:00+02:00,{Jurist|Politician|Civil service|Professor},{http://dbpedia.org/resource/Jurist|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Civil_service|http://dbpedia.org/resource/Professor},['politician'],False,True,False,,,,,
Eros Djarot,1950-07-22,1950-01-01T00:00:00+02:00,{Film director|Politician|Songwriter|Eros_Djarot__1},{http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Eros_Djarot__1},"['politician', 'songwriter']",False,True,False,,,,,
Errol Stewart (athlete),1950-03-02,1950-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Tess Harper,1950-08-15,1950-01-01T00:00:00+02:00,{Actor|Tess_Harper__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tess_Harper__1},['actor'],True,False,False,,,,,
Tetsuo Gotō,{1950-01-01T00:00:00+02:00|1950-08-10},1950-01-01T00:00:00+02:00,{Actor|Voice acting|Tetsuo_Got%C5%8D__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Tetsuo_Got%C5%8D__1},['actor'],True,False,False,,,,,
Tetsuo Kanao,1950-09-29,1950-01-01T00:00:00+02:00,{Actor|Voice acting in Japan|Tetsuo_Kanao__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting_in_Japan|http://dbpedia.org/resource/Tetsuo_Kanao__1},['actor'],True,False,False,,,,,
Thom Barry,1950-12-06,1950-01-01T00:00:00+02:00,{Actor|Thom_Barry__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Thom_Barry__1},['actor'],True,False,False,,,,,
Thomas Hooker (Michigan politician),1950-04-25,,,,['politician'],False,True,False,,,,,
Tom Alter,{1950-06-22|1950-07-02},1950-01-01T00:00:00+02:00,{Actor|Tom_Alter__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tom_Alter__1},['actor'],True,False,False,,,,,
Tom Cotcher,1950-07-28,1950-01-01T00:00:00+02:00,{Actor|Tom_Cotcher__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tom_Cotcher__1},['actor'],True,False,False,,,,,
