rdf-schema#label,birthDate,birthYear,occupation_label,occupation,Occupation_g,Actor,Politician,deathDate,title
Ingrid Bolsø Berdal,1980-03-02,1980-01-01T00:00:00+02:00,{Actor|Ingrid_Bols%C3%B8_Berdal__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ingrid_Bols%C3%B8_Berdal__1},['actor'],True,False,,
Itay Tiran,1980-03-23,1980-01-01T00:00:00+02:00,{Actor|Itay_Tiran__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Itay_Tiran__1},['actor'],True,False,,
Jérémie Carboni,1980-12-28,1980-01-01T00:00:00+02:00,{Actor|Film director|Screenwriter|Film producer|J%C3%A9r%C3%A9mie_Carboni__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/J%C3%A9r%C3%A9mie_Carboni__1},['actor'],True,False,,
J. D. Daniels,1980-08-24,1980-01-01T00:00:00+02:00,{Actor|J._D._Daniels__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/J._D._Daniels__1},['actor'],True,False,,
J. D. Pardo,1980-09-07,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|J._D._Pardo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/J._D._Pardo__1},['actor'],True,False,,
JB Magsaysay,1980-07-06,1980-01-01T00:00:00+02:00,{Actor|Businessperson|Civil service|JB_Magsaysay__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Businessperson|http://dbpedia.org/resource/Civil_service|http://dbpedia.org/resource/JB_Magsaysay__1},['actor'],True,False,,
Jacki R. Chan,1980-12-02,1980-01-01T00:00:00+02:00,{Actor|Drummer|Model (profession)|Jacki_R._Chan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Drummer|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Jacki_R._Chan__1},['actor'],True,False,,
Jackie Tohn,1980-08-24,1980-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Jae Hee,1980-05-25,1980-01-01T00:00:00+02:00,{Actor|Jae_Hee__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jae_Hee__1},['actor'],True,False,,
Elvin Ng,1980-12-23,1980-01-01T00:00:00+02:00,{Actor|Model (profession)},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)},['actor'],True,False,,
Emmeline Hawthorne,1980-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Emmeline_Hawthorne__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Emmeline_Hawthorne__1},['actor'],True,False,,
Erick Elías,1980-06-23,1980-01-01T00:00:00+02:00,{Actor|Erick_El%C3%ADas__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Erick_El%C3%ADas__1},['actor'],True,False,,
Erik A. Schjerven,1980-10-16,1980-01-01T00:00:00+02:00,{Actor|Erik_A._Schjerven__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Erik_A._Schjerven__1},['actor'],True,False,,
Erik Audé,1980-04-05,1980-01-01T00:00:00+02:00,{Poker|Stunt performer|Actor|Erik_Aud%C3%A9__1},{http://dbpedia.org/resource/Poker|http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Erik_Aud%C3%A9__1},['actor'],True,False,,
Erin Dean,1980-10-18,1980-01-01T00:00:00+02:00,{Actor|Erin_Dean__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Erin_Dean__1},['actor'],True,False,,
Thomas Rimmer,1980-09-06,1980-01-01T00:00:00+02:00,{Actor|Thomas_Rimmer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Thomas_Rimmer__1},['actor'],True,False,,
Ti West,1980-10-05,1980-01-01T00:00:00+02:00,{Actor|Film director|Writer|Ti_West__1|Ti_West__2|Ti_West__3},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Ti_West__1|http://dbpedia.org/resource/Ti_West__2|http://dbpedia.org/resource/Ti_West__3},['actor'],True,False,,
Tinku (actor),1980-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Tinku_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tinku_(actor)__1},['actor'],True,False,,
Tinsel Korey,1980-03-25,1980-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,,
Tiwa Savage,1980-02-05,1980-01-01T00:00:00+02:00,{Performing arts|Music artist (occupation)|Actor|Singer-songwriter},{http://dbpedia.org/resource/Performing_arts|http://dbpedia.org/resource/Music_artist_(occupation)|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Tobias Santelmann,1980-08-08,1980-01-01T00:00:00+02:00,{Actor|Tobias_Santelmann__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tobias_Santelmann__1},['actor'],True,False,,
Tom Price (actor),1980-07-12,1980-01-01T00:00:00+02:00,Tom_Price_(actor)__1,http://dbpedia.org/resource/Tom_Price_(actor)__1,['actor'],True,False,,
Luis Alandy,1980-02-07,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|Luis_Alandy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Luis_Alandy__1},['actor'],True,False,,
Maaya Sakamoto,1980-03-31,1980-01-01T00:00:00+02:00,{Lyricist|Actor|Singing|Voice acting},{http://dbpedia.org/resource/Lyricist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Voice_acting},"['actor', 'sing']",True,False,,
Madeleine Sami,1980-05-10,1980-01-01T00:00:00+02:00,{Actor|Madeleine_Sami__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Madeleine_Sami__1},['actor'],True,False,,
Maeva Méline,1980-01-20,1980-01-01T00:00:00+02:00,{Actor|Musician|Singing|Songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'musician', 'sing', 'songwriter']",True,False,,
Mahdi Pakdel,1980-07-01,1980-01-01T00:00:00+02:00,{Actor|Mahdi_Pakdel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mahdi_Pakdel__1},['actor'],True,False,,
Maimie McCoy,1980-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Maimie_McCoy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Maimie_McCoy__1},['actor'],True,False,,
Majid Michel,{1980-09-22|1987-09-22},{1980-01-01T00:00:00+02:00|1987-01-01T00:00:00+02:00},{Actor|Majid_Michel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Majid_Michel__1},['actor'],True,False,,
Malcolm Barrett (actor),1980-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Malcolm_Barrett_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Malcolm_Barrett_(actor)__1},['actor'],True,False,,
Gong Hyo-jin,1980-04-04,1980-01-01T00:00:00+02:00,{Actor|Gong_Hyo-jin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gong_Hyo-jin__1},['actor'],True,False,,
Gonzalo Alcaín,1980-06-27,1980-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Graham Killeen,1980-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Film director|Screenwriter|Film producer|Graham_Killeen__1|Graham_Killeen__2|Graham_Killeen__3|Graham_Killeen__4},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Graham_Killeen__1|http://dbpedia.org/resource/Graham_Killeen__2|http://dbpedia.org/resource/Graham_Killeen__3|http://dbpedia.org/resource/Graham_Killeen__4},['actor'],True,False,,
Guilherme Berenguer,1980-09-20,1980-01-01T00:00:00+02:00,{Actor|Guilherme_Berenguer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Guilherme_Berenguer__1},['actor'],True,False,,
Gungun Uprari,1980-07-16,1980-01-01T00:00:00+02:00,{Actor|Gungun_Uprari__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gungun_Uprari__1},['actor'],True,False,,
Gurdeep Kohli,1980-01-30,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|Television presenter|Gurdeep_Kohli__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Gurdeep_Kohli__1},['actor'],True,False,,
Gustaf Skarsgård,1980-11-12,1980-01-01T00:00:00+02:00,{Actor|Gustaf_Skarsg%C3%A5rd__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gustaf_Skarsg%C3%A5rd__1},['actor'],True,False,,
Gyton Grantley,1980-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Gyton_Grantley__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gyton_Grantley__1},['actor'],True,False,,
Hadley Fraser,1980-04-21,1980-01-01T00:00:00+02:00,{Actor|Hadley_Fraser__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hadley_Fraser__1},['actor'],True,False,,
Han Eun-jung,1980-09-12,1980-01-01T00:00:00+02:00,{Actor|Han_Eun-jung__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Han_Eun-jung__1},['actor'],True,False,,
Hanno Koffler,{1980-01-01T00:00:00+02:00|1980-03-25},1980-01-01T00:00:00+02:00,{Actor|Musician|Hanno_Koffler__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Hanno_Koffler__1},"['actor', 'musician']",True,False,,
Wolke Hegenbarth,1980-05-06,1980-01-01T00:00:00+02:00,{Actor|Wolke_Hegenbarth__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Wolke_Hegenbarth__1},['actor'],True,False,,
Xie Na,1980-05-06,1980-01-01T00:00:00+02:00,{Actor|Presenter|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Yoni Tabac,1980-04-21,1980-01-01T00:00:00+02:00,{Actor|Yoni_Tabac__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Yoni_Tabac__1},['actor'],True,False,,
Yoon Jung-hee (born 1980),1980-12-21,1980-01-01T00:00:00+02:00,{Actor|Yoon_Jung-hee_(born_1980)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Yoon_Jung-hee_(born_1980)__1},['actor'],True,False,,
