rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,title
Elisabeth Neumann-Viertel,1900-04-05,1900-01-01T00:00:00+02:00,1994-12-24,{Actor|Elisabeth_Neumann-Viertel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Elisabeth_Neumann-Viertel__1},['actor'],True,False,
Elof Ahrle,1900-01-21,1900-01-01T00:00:00+02:00,1965-06-03,{Actor|Film director|Elof_Ahrle__1|Elof_Ahrle__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Elof_Ahrle__1|http://dbpedia.org/resource/Elof_Ahrle__2},['actor'],True,False,
Ernst Busch (actor),1900-01-22,1900-01-01T00:00:00+02:00,1980-06-08,{Actor|Singing|Ernst_Busch_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Ernst_Busch_(actor)__1},"['actor', 'sing']",True,False,
Estelle Brody,1900-08-15,1900-01-01T00:00:00+02:00,1995-06-03,{Actor|Estelle_Brody__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Estelle_Brody__1},['actor'],True,False,
Eugenie Leontovich,1900-03-21,1900-01-01T00:00:00+02:00,{1993-04-02|1993-04-03},{Actor|Eugenie_Leontovich__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eugenie_Leontovich__1},['actor'],True,False,
Lucille Lortel,1900-12-16,1900-01-01T00:00:00+02:00,1999-04-04,{Actor|Artistic director|Theatrical producer|Lucille_Lortel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Artistic_director|http://dbpedia.org/resource/Theatrical_producer|http://dbpedia.org/resource/Lucille_Lortel__1},['actor'],True,False,
M. Chinnaswamy,1900-03-29,1900-01-01T00:00:00+02:00,1991-11-08,M._Chinnaswamy__1,http://dbpedia.org/resource/M._Chinnaswamy__1,['president'],False,True,President of BCCI
Wolfgang Heinz (actor),{1900-04-18|1900-05-18},1900-01-01T00:00:00+02:00,1984-10-30,Wolfgang_Heinz_(actor)__1,http://dbpedia.org/resource/Wolfgang_Heinz_(actor)__1,['actor'],True,False,
Zuzka Zguriška,1900-04-13,1900-01-01T00:00:00+02:00,1984-09-24,{Actor|Novelist|Playwright|Translation},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Novelist|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Translation},['actor'],True,False,
Fritz Feld,1900-10-15,1900-01-01T00:00:00+02:00,1993-11-18,{Actor|Fritz_Feld__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fritz_Feld__1},['actor'],True,False,
